dataset,ds_key,scenario,n_cells,n_int,n_unint,n_constraints,n_seed,f1_weighted,f1_int,f1_unint,accuracy,elapsed_s
eBay,ebay,B,8026,1366,6660,14,80,0.925,0.7608,0.9588,0.9297,0.3
eBay,ebay,C,8026,1366,6660,14,80,0.7363,0.3826,0.8091,0.7084,0.3
eBay,ebay,BC,8026,1366,6660,14,80,0.9408,0.8159,0.9665,0.9434,0.3
