feature,importance
h5_error_count,0.23389565643823798
stat_new_magnitude,0.09866934036820858
stat_new_log,0.09702204378867632
h4_coherence_score,0.06653026304704203
stat_feature_name_encoded,0.054010564625275995
h3_distribution_score,0.053193623331854234
h5_codependent_flag,0.05099017630249317
stat_change_magnitude,0.050826051965977
stat_new_value_encoded,0.04809591303287146
stat_relative_change,0.04763039348911284
h6_column_importance,0.045067630520516405
stat_original_value_encoded,0.037457604068770814
stat_original_magnitude,0.027983549909519106
stat_original_log,0.022356028902912894
h8_is_sensitive,0.01941123223346204
h7_comprehensibility,0.016325585306674946
h1_plausible,0.013451450166879228
stat_change_direction,0.008785757735009288
h8_is_majority_value,0.00829713476650545
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h7_mutability,0.0
h7_gain_direction,0.0
