class_label,class_name,support_true,precision,recall,f1,TP,FP,FN
1,intentional,13291,0.7495881383855024,0.8558422993002783,0.7991990444741095,11375,3800,1916
-1,unintentional,14965,0.8535280177356471,0.7460741730704978,0.7961919703344505,11165,1916,3800
