dataset,algorithm,method,f1_weighted,f1_intentional,accuracy,precision,recall,auc,runtime,n_labeled,n_test,pct_labeled,n_clusters,noise_count,silhouette,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
kireev,hierarchical_ward,RandomForest,0.9673,0.9496,0.9674,0.9678,0.9321,0.9584,2.05,117,11544,1.0,15.0,0,0.5044,,,ward,,,,,
kireev,hierarchical_ward,ClusterMajorityVote,0.9419,0.9071,0.9431,0.9801,0.8442,0.9179,2.05,117,11544,1.0,15.0,0,0.5044,,,ward,,,,,
kireev,hierarchical_ward,KNN_k7,0.9532,0.9272,0.9536,0.9587,0.8976,0.9393,2.05,117,11544,1.0,15.0,0,0.5044,,,ward,,,,,
kireev,hierarchical_ward,LabelPropagation,0.748,0.5347,0.7762,0.8475,0.3905,0.678,2.05,117,11544,1.0,15.0,0,0.5044,,,ward,,,,,
kireev,hierarchical_ward,LabelSpreading,0.7477,0.5213,0.7819,0.939,0.3608,0.6746,2.05,117,11544,1.0,15.0,0,0.5044,,,ward,,,,,
kireev,hierarchical_average,RandomForest,0.9444,0.9115,0.9455,0.9812,0.8511,0.9215,1.84,130,11531,1.11,15.0,0,0.3682,,,average,,,,,
kireev,hierarchical_average,ClusterMajorityVote,0.784,0.6002,0.809,0.9724,0.4341,0.714,1.84,130,11531,1.11,15.0,0,0.3682,,,average,,,,,
kireev,hierarchical_average,KNN_k7,0.9212,0.8747,0.9226,0.9402,0.8178,0.8961,1.84,130,11531,1.11,15.0,0,0.3682,,,average,,,,,
kireev,hierarchical_average,LabelPropagation,0.692,0.3913,0.7469,0.9513,0.2463,0.6201,1.84,130,11531,1.11,15.0,0,0.3682,,,average,,,,,
kireev,hierarchical_average,LabelSpreading,0.6759,0.352,0.7378,0.958,0.2156,0.6055,1.84,130,11531,1.11,15.0,0,0.3682,,,average,,,,,
kireev,gmm,RandomForest,0.9472,0.9196,0.9472,0.9222,0.9171,0.9396,0.41,117,11544,1.0,,0,0.4622,,,,15.0,-1063258.53,-1074849.47,True,
kireev,gmm,ClusterMajorityVote,0.9035,0.8533,0.9035,0.8533,0.8533,0.8907,0.41,117,11544,1.0,,0,0.4622,,,,15.0,-1063258.53,-1074849.47,True,
kireev,gmm,KNN_k7,0.9354,0.9016,0.9355,0.9048,0.8984,0.926,0.41,117,11544,1.0,,0,0.4622,,,,15.0,-1063258.53,-1074849.47,True,
kireev,gmm,LabelPropagation,0.7335,0.5092,0.7626,0.7957,0.3744,0.6636,0.41,117,11544,1.0,,0,0.4622,,,,15.0,-1063258.53,-1074849.47,True,
kireev,gmm,LabelSpreading,0.7325,0.4923,0.7688,0.8869,0.3407,0.6597,0.41,117,11544,1.0,,0,0.4622,,,,15.0,-1063258.53,-1074849.47,True,
kireev,hdbscan,RandomForest,0.9787,0.9675,0.9787,0.974,0.9611,0.9743,0.51,415,11246,3.56,83.0,816,0.5962,,5.0,,,,,,50.0
kireev,hdbscan,ClusterMajorityVote,0.9295,0.8889,0.9305,0.9388,0.844,0.9085,0.51,415,11246,3.56,83.0,816,0.5962,,5.0,,,,,,50.0
kireev,hdbscan,KNN_k7,0.967,0.9501,0.9669,0.945,0.9552,0.9639,0.51,415,11246,3.56,83.0,816,0.5962,,5.0,,,,,,50.0
kireev,hdbscan,LabelPropagation,0.8496,0.7427,0.8582,0.923,0.6213,0.7979,0.51,415,11246,3.56,83.0,816,0.5962,,5.0,,,,,,50.0
kireev,hdbscan,LabelSpreading,0.8415,0.7259,0.8517,0.9278,0.5962,0.7867,0.51,415,11246,3.56,83.0,816,0.5962,,5.0,,,,,,50.0
