method,algorithm,accuracy,f1_weighted,f1_error,f1_correct,runtime,n_labeled,n_test
LabelPropagation,K-Means,0.9775084175084175,0.9676514459009434,0.09607577807848444,0.9886125364381787,2.239581346511841,600.0,59400
LabelSpreading,K-Means,0.9775084175084175,0.9676514459009434,0.09607577807848444,0.9886125364381787,2.2812705039978027,600.0,59400
ClusterConstrained,K-Means,0.9765151515151516,0.9649122501364739,0.0,0.988118052893829,0.0,,59400
RandomForest,K-Means,0.976010101010101,0.974462126562412,0.42190669371196754,0.987750891821034,0.36088037490844727,,59400
LabelPropagation,DBSCAN,0.9777272727272728,0.9677959052380856,0.09692832764505119,0.9887245919802276,2.4565749168395996,600.0,59400
LabelSpreading,DBSCAN,0.9777441077441077,0.9678345988070168,0.09822646657571624,0.9887330185623945,1.7586884498596191,600.0,59400
ClusterConstrained,DBSCAN,0.9765319865319866,0.9649373015139672,0.0,0.988126671550006,0.0,,59400
RandomForest,DBSCAN,0.9443097643097643,0.9532107775577905,0.20709491850431447,0.9711414314129183,0.39440393447875977,,59400
