batch_idx,batch_time_sec,llm_time_sec
0,48.577814371092245,48.566576226847246
10,63.99971454590559,63.98977702809498
20,48.950595318106934,48.940871288999915
30,51.60667153913528,51.596909823827446
40,59.32261776784435,59.312748139956966
50,55.15303634898737,55.1430768170394
60,45.7750074560754,45.76511230994947
70,45.96149710100144,45.951627663103864
80,58.02635435410775,58.0166319059208
90,50.473913038149476,50.46416294807568
100,49.1539574470371,49.14443810284138
110,49.56568744499236,49.55579222808592
120,52.011290608905256,52.00135294906795
130,59.50126637192443,59.49152725818567
140,47.828828080091625,47.81927734799683
150,53.678039049962536,53.66837917501107
160,50.11185927782208,50.10236008395441
170,57.773308540927246,57.763852121075615
180,52.661513614002615,52.652076401980594
190,53.24681854411028,53.237254773965105
200,57.28986283391714,57.279988277936354
210,48.518975094892085,48.509431653888896
220,53.63576457207091,53.62609514314681
230,54.990905231796205,54.98114309483208
240,55.37654153397307,55.366672914940864
250,60.39249264309183,60.383001470938325
260,53.6062783759553,53.59658591309562
270,54.49987394292839,54.48991528409533
280,65.46267937216908,65.45285664708354
290,61.32383749098517,61.31424881494604
300,54.077303525060415,54.06773284007795
310,54.52208497002721,54.51212738803588
320,46.17065322701819,46.16099349106662
330,56.63377952785231,56.62401925306767
340,53.06415724894032,53.058456582948565
350,52.143673112848774,52.13396333390847
360,52.03925795783289,52.02949894615449
370,52.510728538036346,52.50085168890655
380,61.570695467991754,61.56113011809066
390,57.98236558702774,57.972624072106555
400,51.78442526399158,51.77443753113039
410,53.821529772132635,53.81171133206226
420,54.119109524879605,54.10916102095507
430,54.01475578499958,54.005122954025865
440,51.28146704402752,51.27200475987047
450,60.88136340910569,60.87192718288861
460,58.618373558158055,58.60877678194083
470,58.168740527005866,58.15890866983682
480,57.86242034402676,57.85274710296653
490,46.31580098485574,46.30620794510469
500,52.34004475316033,52.33040429186076
510,60.47374338004738,60.46406989893876
520,61.82556864991784,61.81609033094719
530,50.26877303281799,50.25936778495088
540,61.50135555095039,61.49168786010705
550,51.98832505592145,51.97863168595359
560,50.898815643042326,50.88925854791887
570,50.669702684972435,50.66018248395994
580,46.518564607948065,46.50910033099353
590,52.950540197081864,52.94056165008806
600,52.1723093141336,52.162571768974885
610,44.73187318490818,44.72225111001171
620,46.28758085984737,46.277709351154044
630,47.99922438105568,47.98958204407245
640,54.335003001149744,54.32553399214521
650,46.13383444189094,46.12425420200452
